Location,Outbreak,Latitude,Longitude,Cases2008,Fatalities2008,Source2008,Link2008,Cases2009,Fatalities2009,Source2009,Link2009,Cases2010,Fatalities2010,Source2010,Link2010,Cases2011,Fatalities2011,Source2011,Link2011,Cases2012,Fatalities2012,Source2012,Link2012,Cases2013,Fatalities2013,Source2013,Link2013,Cases2014,Fatalities2014,Source2014,Link2014,Cases2015,Fatalities2015,Source2015,Link2015
Idaho,Whooping Cough,45,-114,,,,,,,,,77,0,"Nadvornick, Doug. ""North Idaho Suffers Through Whooping Cough Outbreak ."" OPB News, July 22, 2010.",http://news.opb.org/article/2009519-north-idaho-suffers-through-whooping-cough-outbreak/,,,,,,,,,,,,,287,1,"KPVI. ""Idaho Attributes Increase in Pertussis to Low Vaccination Rates."" n.d.",http://www.kpvi.com/content/news/local/story/Idaho-Attributes-Increase-in-Pertussis-to-Low/M2FEtvj900SynGy_dNF1Tw.cspx,,,,
Idaho,Mumps,45,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,"Fonda, Brandon. ' Mumps outbreak in Moscow makes its way to Boise."" Idaho ON Your Side. February 8, 2015. Ê",http://www.jrn.com/kivitv/news/Mumps-outbreak-in-Moscow-makes-its-way-to-Boise-291131761.html
Illinois,Whooping Cough,40,-89,,,,,,,,,,,,,,,,,313,0,"ABC News, ""313 whooping cases confirmed in McHenry County."" March 7, 2012.",http://abclocal.go.com/wls/story?section=news/local/illinois&id=8572713,,,,,24,0,"Madden, Roche. ""CDC monitoring whooping cough outbreak in Staunton, Illinios."" KPLR St. Louis. October 29, 2014.",http://kplr11.com/2014/10/29/cdc-monitoring-whooping-cough-outbreak-in-staunton-illinois/,,,,
Illinois,Mumps,40,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0,"Pressey, Debra. ""Updated: Number of mumps cases tops 100 in local outbreak; more clinics set."" The News Gazette. August 26, 2015.",http://www.news-gazette.com/news/local/2015-08-26/updated-number-mumps-cases-tops-100-local-outbreak-more-clinics-set.html
Indiana,Whooping Cough,40,-86,,,,,,,,,500,2,"Cierzniewski, Angie. ""Pertussis: On the Rise in Indiana."" Indiana Epidemiology Newsletter, November 2010. ",http://www.in.gov/isdh/files/Epi_V18_N05_2010_Sept_Oct.pdf,,,,,,,,,,,,,,,,,,,,
Indiana,Chicken Pox,40,-86,,,,,,,,,,,,,,,,,100,0,"""W. Indiana county tops 100 chickenpox cases."" San Francisco Chronicle, November 20, 2012.",http://www.sfgate.com/news/article/W-Indiana-county-tops-100-chickenpox-cases-4052864.php,,,,,,,,,,,,
Iowa,Whooping Cough,42,-93,,,,,,,,,,,,,,,,,270,0,"Hinz, Tina. ""More pertussis cases reported in county."" Wateroo-Cedar Falls Courier. May 31, 2012.",http://wcfcourier.com/news/local/more-pertussis-cases-reported-in-county/article_f7e2cc33-a86d-586c-ab02-a4fb634b50c3.html,,,,,,,,,,,,
Kansas,Whooping Cough,38.5,-98,,,,,,,,,,,,,,,,,179,0,"Whooping Cough Cases Up, Bismark Tribune, October 30, 2012.",http://bismarcktribune.com/news/local/whooping-cough-cases-up/article_e20d196c-22c0-11e2-9f61-0019bb2963f4.html,491,0,"Johnson County Department of Health and Environment. ""Report only PCR positive pertussis results."" January 18, 2013.",http://jcdhe.jocogov.org/subscribe/newsletter/epi/01/1116,,,,,68,0,"Hadfield, Molly. ""27 Confirmed Cases of Whooping Cough in 2015 in Barton County."" KSN. June 16, 2015; Green, John.Ê ""Whooping cough outbreak won't give up."" Hutchinson News.Ê July 25, 2015.",http://ksn.com/2015/06/16/27-confirmed-cases-of-whooping-cough-in-2015-in-barton-county/ http://www.hutchnews.com/news/local_state_news/whooping-cough-outbreak-won-t-give-up/article_be45552e-7d31-5647-b2e0-1f76fa58365f.html
Kansas,Measles,38.5,-98,,,,,,,,,,,,,,,,,,,,,,,,,27,0,"Ryan, Kelsey. ""Wichita-area health officials brace for measles cases."" The Wichita Eagle. June 25, 2014. ",http://www.kansas.com/2014/06/24/3523983/wichita-area-health-officials.html,,,,
Maine,Whooping Cough,45.5,-69,,,,,,,,,,,,,,,,,80,0,"Farwell, Jackie. ""Whooping cough spreads in Maine; health officials urge child vaccination."" Maine Sun Journal. June 6, 2012.",http://www.sunjournal.com/news/maine/0001/11/30/whooping-cough-spreads-maine-health-officials-urge/1206060,,,,,,,,,,,,
Maryland,Whooping Cough,39,-76.7,,,,,,,,,,,,,,,,,133,0,"Bellmyer, Jane. ""Officials: Whooping cough cases on the rise."" Cecil Daily. July 22, 2012.",http://www.cecildaily.com/news/local_news/article_ad08f7a6-d46c-11e1-9c05-0019bb2963f4.html,,,,,,,,,,,,
Massachusetts,Whooping Cough,42.3,-71.8,,,,,,,,,,,,,,,,,,,,,52,0,"Rodriguez, Anaridis. ""Increase in whooping cough cases in Northampton."" Channel 22 WWLP News. June 4, 2013.",http://www.wwlp.com/dpp/news/local/hampshire/increase-in-whooping-cough-cases-in-northampton,,,,,,,,
Michigan,Whooping Cough,43.3,-84.6,,,,,,,,,600,0,"Dillard, Mechele R. ""CDC: Whooping cough cases increasing in California, Michigan."" HULIQ, November 27, 2010.",http://www.huliq.com/10473/cdc-whooping-cough-cases-increasing-california-michigan,,,,,,,,,,,,,107,0,"Kelso, Steve. ""Whooping cough outbreak among Allegan Co. teens."" WOOD TV. December 8, 2014; Thoms, Sue. ""Pertussis outbreak affects 81, including four babies, Grand Traverse County reports."" mLive. December 23, 2014.",http://woodtv.com/2014/12/08/whooping-cough-outbreak-among-allegan-co-teens/ http://www.mlive.com/news/grand-rapids/index.ssf/2014/12/grand_traverse_reports_81_whoo.html,,,,
Minnesota,Whooping Cough,46,-94,,,,,,,,,46,0,"Herriman, Robert. ""Whooping cough outbreak in Minnesota."" Examiner, May 14, 2010.",http://www.examiner.com/infectious-disease-in-national/whooping-cough-outbreak-minnesota,,,,,4433,0,"Centers for Disease Control and Prevention, ""Pertussis (whooping cough) outbreaks,"" January 9, 2013.",http://www.cdc.gov/pertussis/outbreaks.html,,,,,,,,,,,,
Minnesota,Measles,46,-94,,,,,,,,,,,,,21,0,"Rolander, Leslie. ""Minn. Measles Outbreak Grows to 21 Confirmed Cases ."" 5 ABC Eyewitness News, April 21, 2011.",http://kstp.com/article/stories/s2076092.shtml,,,,,,,,,21,0,"DoctorsLounge. ""Measles Outbreak IDÕd in Undervaccinated Community."" June 9, 2014.",http://www.doctorslounge.com/index.php/news/pb/47324,,,,
Montana,Whooping Cough,47,-110,,,,,,,,,,,,,,,,,355,0,"Montana DPHHS, ""Montana DPHHS Pertussis Update: 7/20/2012,"" July 20, 2012.",http://www.dphhs.mt.gov/publichealth/immunization/documents/MontanaPertussisUpdate.pdf,225,0,"""Pertussis reports pour in from around MT."" KPAX 8. September 3, 2013.",http://www.kpax.com/news/pertussis-reports-pour-in-from-around-mt/,423,0,"DeMarco, Margaret. ""3rd case of pertussis confirmed at CMR in Great Falls."" December 11, 2014.",http://www.krtv.com/news/3rd-case-of-pertussis-confirmed-at-cmr-in-great-falls/,,,,
Nebraska,Mumps,41.5,-99,,,,,,,,,20,0,"The Associated Press. ""Nebraska mumps cases linked to basketball tourney."" JournalStar.com, May 7, 2010.",http://journalstar.com/news/state-and-regional/nebraska/article_2389184e-5a02-11df-9d65-001cc4c002e0.html,,,,,,,,,,,,,,,,,,,,
Nebraska,Whooping Cough,41.5,-99,,,,,,,,,,,,,,,,,,,,,,,,,110,0,"Ozaki, Andrew. ""Lincoln health officials seeing unprecedented number of whooping cough cases."" KETV. December 26, 2014.",http://www.ketv.com/news/lincoln-health-officials-seeing-unprecedented-number-of-whooping-cough-cases/30415802,,,,
Nevada,Whooping Cough,39,-117,,,,,,,,,,,,,,,,,22,0,"Bleakley, Caroline. ""Health District Reports 22 Cases of Pertussis."" 8 News Now. July 11, 2012.",http://www.8newsnow.com/story/18983109/health-district-reports-22-cases-of-pertussis,,,,,,,,,,,,
New Mexico,Whooping Cough,34,-106,,,,,,,,,,,,,,,,,112,1,"NM Whoop Cough Cases Up As Fewer Get Shots. NECN.com. May 16, 2012.",http://www.necn.com/05/16/12/NM-whoop-cough-cases-up-as-fewer-get-sho/landing_health.html?&apID=0b788266a3e6414fa858d16378d59b61,331,0,"Clark, Carol A. ""More than 300 Cases of Pertussis Reported in New Mexico."" Los Alamos Daily Post. August 30, 2013.",http://www.ladailypost.com/content/more-300-cases-pertussis-reported-new-mexico,,,,,,,,
New York,Mumps,42.5,-75,,,,,57,0,"Huffingtonpost, ""Brooklyn Mumps Outbreak: 57 Confirmed Cases In Borough Park,"" October 23, 2009.",http://www.huffingtonpost.com/2009/10/23/brooklyn-mumps-outbreak-5_n_331420.html,3502,0,"Barskey, Albert E. ""Mumps outbreak in Othodox Jewish Cmmunities in the United States."" New England Journal of Medicine. November 2012.",http://www.nejm.org/doi/full/10.1056/NEJMoa1202865,,,,,,,,,,,,,,,,,,,,
New York,Whooping Cough,42.5,-75,,,,,,,,,,,,,,,,,1288,0,"The Republic, ""Schumer says government should provide free whooping cough vaccinations as NY cases triple,"" July 22 2012.",http://www.therepublic.com/view/story/5f708205499f42468aa928c633fad1de/NY--Whooping-Cough-Schumer,,,,,109,0,"New York City Department of Health and Mental Hygiene, ""ALERT # 40: Pertussis in New York City."" October 19, 2015.",https://a816-health30ssl.nyc.gov/sites/nychan/Lists/AlertUpdateAdvisoryDocuments/Pertussis%20Alert%20_10_16_15final.pdf,,,,
New York,Measles,42.5,-75,,,,,,,,,,,,,,,,,,,,,58,0,"McKay, Betsy. ""Brooklyn Measles Outbreak Shows Risks."" Wall Street Journal. July 19, 2013.",http://online.wsj.com/article/SB10001424127887324251504578578054234429308.html,26,0,"Basset, Mary T. ""Statement from Health Commissioner Mary T. Bassett on Measles outbreak in New York City."" New York City Department of Health and Mental Hygiene. April 16, 2014.",http://www.nyc.gov/html/doh/downloads/pdf/press/measles-statement04-16-14.pdf,,,,
North Carolina,Whooping Cough,35.5,-80,,,,,,,,,,,,,,,,,82,0,"McGowan, Molly. ""Whooping cough outbreak climbs to 82 cases."" Times-News, February 25, 2012.",http://www.thetimesnews.com/articles/pertussis-52838-department-outbreak.html,326,0,"""Pertussis outbreak continues in North Carolina."" Healio. August 28, 2013.",http://www.healio.com/pediatrics/respiratory-infections/news/online/%7B7807cb8d-980c-4c34-899b-63cdd8554a2f%7D/pertussis-outbreak-continues-in-north-carolina,,,,,,,,
North Carolina,Measles,35.5,-80,,,,,,,,,,,,,,,,,,,,,23,0,"Baines, Miranda. ""Measles cases have state health officials concerned."" The Daily Southerner. May 17, 2013.",http://dailysoutherner.com/local/x319988597/Measles-cases-have-state-health-officials-concerned,,,,,,,,
North Dakota,Whooping Cough,47,-100,,,,,30,0,"Whooping Cough Cases Up, Bismark Tribune, October 30, 2012.",http://bismarcktribune.com/news/local/whooping-cough-cases-up/article_e20d196c-22c0-11e2-9f61-0019bb2963f4.html,58,0,"Whooping Cough Cases Up, Bismark Tribune, October 30, 2012.",http://bismarcktribune.com/news/local/whooping-cough-cases-up/article_e20d196c-22c0-11e2-9f61-0019bb2963f4.html,70,0,"Whooping Cough Cases Up, Bismark Tribune, October 30, 2012.",http://bismarcktribune.com/news/local/whooping-cough-cases-up/article_e20d196c-22c0-11e2-9f61-0019bb2963f4.html,,,,,,,,,,,,,,,,
Ohio,Whooping Cough,40.5,-82.5,,,,,,,,,36,0,"The Buckelye Lake Beacon. ""Fairfield Medical sees increase in Pertussis cases."" July 24,2010.",http://www.buckeyelakebeacon.net/news/2010-07-24/News/Fairfield_Medical_sees_increase_in_Pertussis_cases.html,,,,,,,,,901,0,"Latta, Tiffany Y. ""Clark pertussis cases still rising."" Springfield News Sun. December 8, 2013.",http://www.springfieldnewssun.com/news/news/local/clark-pertussis-cases-still-rising/ncDhn/,,,,,20,0,"Graham, Gordon. ""Whooping cough outbreak strikes two area schools."" Fox 19. November 12, 2014.",http://www.fox19.com/story/27356205/whooping-cough-outbreak-strikes-two-area-schools
Ohio,Mumps,40.5,-82.5,,,,,,,,,,,,,,,,,,,,,,,,,483,0,"Franko, Cantelle. ""Ohio measles outbreak appears to end, with 377 total cases; officials still watching for mumps."" Associated Press. September 9, 2014.",http://www.dailyjournal.net/view/story/78f17758774942db88ac74b5846319f8/OH--Measles-Ohio/,,,,
Ohio,Measles,40.5,-82.5,,,,,,,,,,,,,,,,,,,,,,,,,382,0,"King, Kelley. ""Ohio dealing with large number of measles cases."" wtdn.com.  January 15, 2015. ",http://wdtn.com/2015/01/19/ohio-dealing-with-large-number-of-measles-cases/,,,,
Oregon,Whooping Cough,44,-120.5,,,,,,,,,,,,,,,,,458,0,"Malee, Patrick. ""Officials call pertussis alert: A public health official says low vaccination rates leave children vulnerable against whooping cough."" The Register-Guard.July 10, 2012.",http://www.registerguard.com/web/newslocalnews/28363316-41/health-county-cases-lane-pertussis.html.csp,,,,,29,0,"Lodi News-Sentinel, ""San Joaquin County reports death from whooping cough ."" March 6, 2015.",http://www.lodinews.com/news/article_691509ea-c3d9-11e4-9b64-bbc28dc835c9.html,,,,
Pennsylvania,Whooping Cough,41,-77.5,32,0,"The Herald. ""Local whooping cough outbreak sickens 32."" November 26, 2008.",http://www.sharonherald.com/local/x1208362045/Local-whooping-cough-outbreak-sickens-32,,,,,,,,,,,,,46,0,"County Health Department Reports Growing Incidence of Whooping Cough. Patch. May 18, 2012.",http://plum-oakmont.patch.com/articles/county-health-department-reports-growing-incidence-of-whooping-cough,,,,,140,0,"WTAE. ""Allegheny County Health Department Reports Growing Incidence of Pertussis."" December 11, 2014.",http://www.wtae.com/health/allegheny-county-health-department-reports-growing-incidence-of-pertussis/30177816,,,,
South Carolina,Whooping Cough,34,-81,,,,,,,,,,,,,,,,,,,,,,,,,30,0,"Osby, Liv. ""Whooping cough causes concern in Pickens County."" Greenville Online. May 12, 2014.",http://www.greenvilleonline.com/story/news/local/2014/05/12/whooping-cough-causes-concern-pickens-county/8987555/,,,,
Texas,Whooping Cough,31,-100,,,,,,,,,,,,,,,,,32,0,"KWTX. ""More Than 30 Cases Of Whooping Cough Now Confirmed Here."" April 9, 2012.",http://www.kwtx.com/news/health/headlines/More_Than_20_Cases_Of_Whooping_Cough_Confirmed_Here_146687055.html,3482,0,"Karnes, Cliff. ""Record Cases of Pertussis Reported Across the State, Three Reported in Brown County."" Brownwood News. Decemebr 20, 2013.",http://www.brownwoodnews.com/index.php?option=com_content&view=article&id=14057,,,,,,,,
Utah,Whooping Cough,39.5,-111.5,,,,,,,,,,,,,,,,,1497,0,"Williams, Melinda. ""Adults also need  pertussis vaccine."" The Davis Clipper. March 4, 2013.",http://www.davisclipper.com/view/full_story/21844561/article-Adults-also-need--pertussis-vaccine?instance=secondary_stories_left_column,,,,,748,0,"Wood, Benjamin. ""East High School fighting whooping cough outbreak."" Salt Lake Tribune. December 4, 2014.",http://www.sltrib.com/news/1908090-155/east-high-school-fighting-whooping-cough,63,0,"Vaccine News Daily Reports. ""Park City, Utah sees whooping cough outbreak."" April 8, 2015. ",http://vaccinenewsdaily.com/news/333382-park-city-utah-sees-whooping-cough-outbreak/
Vermont,Whooping Cough,44,-72.5,,,,,,,,,,,,,,,,,632,0,"Centers for Disease Control and Prevention, ""Pertussis (whooping cough) outbreaks,"" January 9, 2013.",http://www.cdc.gov/pertussis/outbreaks.html,,,,,,,,,,,,
Virginia,Whooping Cough,37.5,-79,,,,,,,,,,,,,32,0,"Barnett, Erin. ""Floyd school to re-open Monday after whooping cough outbreak."" WSLS10. April 6, 2011.",http://www.wsls.com/story/20826636/floyd-school-to-re-open-monday-after-whooping-cough-outbreak,,,,,,,,,,,,,,,,
"Washington, DC",Whooping Cough,38.9,-77,,,,,,,,,,,,,,,,,,,,,4783,0,"Centers for Disease Control and Prevention, ""Pertussis (whooping cough) outbreaks,"" January 9, 2013.",http://www.cdc.gov/pertussis/outbreaks.html,,,,,28,0,"Aney, Kathy. ""Weaker vaccine blamed for whooping cough outbreak.""ÊEast Oregonian. April 22, 2015. ",http://www.eastoregonian.com/eo/local-news/20150422/weaker-vaccine-blamed-for-whooping-cough-outbreak
West Virginia,Whooping Cough,39,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,"Clutter, Crissy. ""Whooping cough cases up in West Virginia."" WTOV 9 Fox News. November 9, 2015. ",http://wtov9.com/news/local/whooping-cough-cases-up-in-west-virginia
Wisconsin,Whooping Cough,44.5,-89.5,,,,,,,,,,,,,1078,0,"Larsen, Jessica. ""County Reports Spike in Whooping Cough Cases."" LaCrosse Tribune. May 18, 2012.",http://lacrossetribune.com/news/local/county-reports-spike-in-whooping-cough-cases/article_aac24a22-a101-11e1-b8f2-001a4bcf887a.html,5923,0,"Centers for Disease Control and Prevention, ""Pertussis (whooping cough) outbreaks,"" January 9, 2013.",http://www.cdc.gov/pertussis/outbreaks.html,31,0,"Neupert, Raymond. ""Health officials seeing more pertussis cases in central Wisconsin."" WSAU. December 20, 2013.",http://wsau.com/news/articles/2013/dec/20/health-officials-seeing-more-pertussis-cases-in-central-wisconsin/,,,,,,,,
